2026-01-15 11:49:52,217 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:52] "POST /login HTTP/1.1" 200 -
2026-01-15 11:49:52,264 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:52] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:52,265 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:52] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:49:52,366 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:52] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:52,405 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:52] "GET /users HTTP/1.1" 200 -
2026-01-15 11:49:56,916 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:56] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:56,918 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:56] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:56,930 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:56] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:56,940 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:56] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:49:56,951 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:49:56] "[36mGET /uploads/profiles/avatar.png HTTP/1.1[0m" 304 -
2026-01-15 11:50:02,419 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:02] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:02,429 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:02] "PUT /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:02,441 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:02] "OPTIONS /users/5/upload HTTP/1.1" 200 -
2026-01-15 11:50:02,450 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:02] "POST /users/5/upload HTTP/1.1" 200 -
2026-01-15 11:50:02,620 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:02] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:02,640 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:02] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:02,664 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:02] "GET /uploads/profiles/avatar.png HTTP/1.1" 200 -
2026-01-15 11:50:13,463 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:13] "OPTIONS /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:13,474 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:13] "PUT /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:13,750 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:13] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:13,763 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:13] "GET /users/5 HTTP/1.1" 200 -
2026-01-15 11:50:13,780 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:13] "[36mGET /uploads/profiles/avatar.png HTTP/1.1[0m" 304 -
2026-01-15 11:50:15,284 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:15] "[36mGET /uploads/documents/resume2.pdf HTTP/1.1[0m" 304 -
2026-01-15 11:50:18,544 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:18] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:50:18,547 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:18] "OPTIONS /users HTTP/1.1" 200 -
2026-01-15 11:50:18,643 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:18] "GET /users HTTP/1.1" 200 -
2026-01-15 11:50:18,720 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:18] "GET /users HTTP/1.1" 200 -
2026-01-15 11:50:19,771 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:19] "OPTIONS /users/8 HTTP/1.1" 200 -
2026-01-15 11:50:19,779 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:19] "OPTIONS /users/8 HTTP/1.1" 200 -
2026-01-15 11:50:19,789 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:19] "GET /users/8 HTTP/1.1" 200 -
2026-01-15 11:50:19,797 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:50:19] "GET /users/8 HTTP/1.1" 200 -
